Juvenile_Justice_System.f;3687:5.582521943542517E-4
Southern_California.f;3158:5.570853342512315E-4
Mansion_Square.f;2853:5.507364741059609E-4
G_Street_Pub.f;1251:5.495206775222964E-4
Amtrak.f;1442:5.427335212271541E-4
Anderson_Plaza.f;1659:5.41541542995755E-4
MU.f;1687:5.391408300026945E-4
A_Street.f;375:5.360820887896965E-4
Fraternities.f;929:5.342979781846282E-4
1909.f;510:5.335568696154069E-4
1868.f;428:5.327583973885888E-4
UCD_Administrative_Officers.f;126:5.276076979246277E-4
Oakshade_Town_Center.f;2804:5.249567116380175E-4
Starbucks.f;1859:5.220836624927496E-4
Silo.f;2767:5.1741120513094E-4
Birds_and_Bird_Watching.f;4387:5.171643339191099E-4
1917.f;536:5.117675529253594E-4
County_Road_102.f;829:5.112472160783929E-4
Davis_Farmers_Market.f;3700:5.10350821202215E-4
Village_Homes.f;800:5.088976739189402E-4
Experimental_College.f;2235:5.088731600717359E-4
Town_History.f;163:5.070680950008671E-4
Davis_Commons.f;932:5.023735310072566E-4
Navigating_Davis.f;104:4.968816485736254E-4
B_Street.f;270:4.947192295748626E-4
4th_Street.f;1664:4.917472360912897E-4
Demographics.f;3482:4.916355861748989E-4
Non-Profit_Organizations.f;2248:4.914698378261794E-4
The_Eggheads.f;7378:4.904806180683289E-4
Facebook.f;2161:4.865033121744895E-4
Bainer_Hall.f;3358:4.857447768463436E-4
People.f;86:4.797723509519897E-4
2019.f;1194:4.779190395779393E-4
2018.f;1195:4.779190395779393E-4
2015.f;1196:4.779190395779393E-4
2017.f;1198:4.779190395779393E-4
2016.f;1199:4.779190395779393E-4
1999.f;879:4.757251874284337E-4
Recycling.f;6660:4.750364347247234E-4
Freeborn_Hall.f;1228:4.7457351658114965E-4
El_Macero_Shopping_Center.f;2816:4.717920158220169E-4
Wright_Hall.f;5284:4.7089844473675337E-4
Davis_Life_Magazine.f;3751:4.6894368022076035E-4
Academic_Senate.f;2291:4.679582437912872E-4
UC_Davis_Fire_Department.f;558:4.635471260349636E-4
UC_Davis_Bookstore.f;37:4.5881206204649876E-4
